bsn,naam,zorg_status,zorg_einddatum
703482476,Client 1,beeindigd,2024-09-06
131712743,Client 2,actief,
773782631,Client 3,actief,
465840449,Client 4,beeindigd,
787558862,Client 5,beeindigd,
339636051,Client 6,beeindigd,
517187024,Client 7,beeindigd,
217459614,Client 8,actief,
865780912,Client 9,actief,
431611725,Client 10,actief,
386922214,Client 11,beeindigd,
379237477,Client 12,actief,
748217599,Client 13,actief,
647436711,Client 14,actief,
594406407,Client 15,actief,
743953393,Client 16,actief,
210470951,Client 17,actief,2025-08-15
562328580,Client 18,actief,
474517123,Client 19,actief,
685160488,Client 20,actief,
496513709,Client 21,actief,
317461205,Client 22,actief,
711382670,Client 23,actief,
869261794,Client 24,beeindigd,
405377356,Client 25,actief,
585064313,Client 26,beeindigd,2025-11-08
900532932,Client 27,actief,
839335295,Client 28,actief,
228421020,Client 29,actief,
681177585,Client 30,actief,
390847008,Client 31,beeindigd,
617711598,Client 32,actief,2025-09-05
998569847,Client 33,beeindigd,
611836737,Client 34,beeindigd,
766156540,Client 35,actief,
711116155,Client 36,actief,
988516561,Client 37,actief,
945198322,Client 38,beeindigd,
158514932,Client 39,beeindigd,
445502290,Client 40,beeindigd,2024-05-16
254599102,Client 41,actief,
901476791,Client 42,beeindigd,
381561495,Client 43,beeindigd,
403690031,Client 44,actief,
244510763,Client 45,actief,2024-12-15
388516069,Client 46,actief,
159696641,Client 47,actief,
529751616,Client 48,actief,
681645350,Client 49,actief,2024-09-03
188355236,Client 50,actief,2025-11-23
292127790,Client 51,beeindigd,
995527179,Client 52,beeindigd,
700541196,Client 53,beeindigd,
807935979,Client 54,actief,
715182031,Client 55,beeindigd,
889255465,Client 56,beeindigd,
905151860,Client 57,actief,
925192545,Client 58,beeindigd,2024-06-18
148652815,Client 59,beeindigd,
322141886,Client 60,actief,
