PersoneelsNummer,Voornaam,Achternaam,Functie,InDienst,Geboortedatum
100001,Daan,de Vries,Teamleider,06-10-2025,01-01-1962
100002,Hilde,Bakker,Verpleegkundige,21-07-2024,02-02-1969
100003,Roos,Jansen,Activiteitenbegeleider,12-05-2026,03-03-1976
100004,Anna,Jansen,Woonbegeleider,18-10-2025,04-04-1983
100005,Quinn,Peters,Verzorgende IG,16-11-2024,05-05-1990
100006,Gijs,van Dijk,Activiteitenbegeleider,31-10-2025,06-06-1997
100007,Omar,Peters,Teamleider,07-03-2024,07-07-1966
100008,Anna,Dekker,Helpende,29-06-2024,08-08-1973
100009,Noor,Meijer,Teamleider,05-01-2026,09-09-1980
100010,Gijs,Dekker,Kwaliteitsmedewerker,01-03-2026,10-10-1987
100011,Carla,Mulder,Verpleegkundige,11-06-2025,11-11-1994
100012,Lars,Peters,Teamleider,09-03-2024,12-12-1963
100013,Ben,van Dijk,Zorgassistent,11-12-2024,13-01-1970
100014,Daan,Kok,Activiteitenbegeleider,25-03-2026,14-02-1977
100015,Roos,Smit,Kwaliteitsmedewerker,30-10-2024,15-03-1984
100016,Gijs,van Dijk,Verpleegkundige,28-04-2026,16-04-1991
100017,Hilde,Dekker,Teamleider,24-03-2026,17-05-1998
100018,Hilde,Brouwer,Verpleegkundige,20-05-2025,18-06-1967
100019,Imke,Bos,Kwaliteitsmedewerker,29-12-2025,19-07-1974
100020,Lars,Meijer,Woonbegeleider,27-07-2024,20-08-1981
100021,Imke,van Dijk,Verpleegkundige,28-09-2024,21-09-1988
100022,Femke,Vos,Woonbegeleider,28-12-2025,22-10-1995
100023,Omar,Mulder,Teamleider,27-08-2024,23-11-1964
100024,Roos,Visser,Kwaliteitsmedewerker,01-02-2024,24-12-1971
100025,Ben,Visser,Verzorgende IG,11-03-2024,25-01-1978
100026,Kim,Mulder,Teamleider,07-04-2026,26-02-1985
100027,Gijs,Kok,Kwaliteitsmedewerker,08-11-2025,27-03-1992
100028,Puck,Mulder,Zorgassistent,18-01-2026,01-04-1999
100029,Imke,Bakker,Woonbegeleider,12-05-2024,02-05-1968
100030,Roos,Vos,Teamleider,10-05-2024,03-06-1975
100031,Sam,Mulder,Activiteitenbegeleider,08-06-2025,04-07-1982
100032,Hilde,Bakker,Zorgassistent,12-03-2026,05-08-1989
100033,Ben,Brouwer,Verpleegkundige,08-01-2026,06-09-1996
100034,Femke,Dekker,Activiteitenbegeleider,11-10-2024,07-10-1965
100035,Carla,Mulder,Activiteitenbegeleider,11-10-2024,08-11-1972
100036,Omar,Vos,Teamleider,24-11-2024,09-12-1979
100037,Anna,Hendriks,Verpleegkundige,15-07-2024,10-01-1986
100038,Roos,Dekker,Teamleider,17-04-2024,11-02-1993
100039,Kim,Jansen,Teamleider,25-03-2025,12-03-1962
100040,Femke,Bos,Verzorgende IG,04-06-2024,13-04-1969
